ts,close,fast,slow,highN,lowN,highN_prev,lowN_prev,signal,pos,ret,equity
2025-06-04 23:00:00+00:00,2606.77,0.7047181288862703,7.80336419331468,2660.5804614716667,2596.3615385283333,2660.5804614716667,2596.3615385283333,HOLD,0.0,0.0,1.2433567882678964
2025-06-05 00:00:00+00:00,2610.8,-0.3611229532780271,6.170466763996139,2660.011163580599,2594.411836419402,2660.011163580599,2594.411836419402,HOLD,0.0,0.0,1.2433567882678964
2025-06-05 01:00:00+00:00,2607.7,-1.5363136589435271,4.629110679408205,2660.2861803196492,2592.5618196803507,2660.2861803196492,2592.5618196803507,HOLD,0.0,-0.0,1.2433567882678964
2025-06-05 02:00:00+00:00,2618.83,-1.1122066781308604,3.4808472079003923,2659.946796505896,2591.9352034941035,2659.946796505896,2591.9352034941035,HOLD,0.0,0.0,1.2433567882678964
2025-06-05 03:00:00+00:00,2623.67,-0.20680858808782432,2.7433160487027495,2659.812921171483,2591.776078828517,2659.812921171483,2591.776078828517,HOLD,0.0,0.0,1.2433567882678964
2025-06-05 04:00:00+00:00,2629.19,1.136112631424112,2.421875365247022,2658.775406686101,2591.7945933138994,2658.775406686101,2591.7945933138994,HOLD,0.0,0.0,1.2433567882678964
2025-06-05 05:00:00+00:00,2612.1,0.1459601028814177,1.966692312773901,2656.7787363795983,2590.7702636204017,2656.7787363795983,2590.7702636204017,HOLD,0.0,-0.0,1.2433567882678964
2025-06-05 06:00:00+00:00,2603.58,-1.6130242090280262,1.2507490084135156,2655.607815132567,2588.5761848674333,2655.607815132567,2588.5761848674333,SELL,0.0,-0.0,1.2433567882678964
2025-06-05 07:00:00+00:00,2603.37,-2.965055905720874,0.40758802558663765,2655.5545843096897,2586.5974156903103,2655.5545843096897,2586.5974156903103,SELL,0.0,-0.0,1.2433567882678964
2025-06-05 08:00:00+00:00,2604.67,-3.8126220324484166,-0.4364539860203732,2655.675026456527,2585.370973543473,2655.675026456527,2585.370973543473,HOLD,0.0,0.0,1.2433567882678964
2025-06-05 09:00:00+00:00,2608.98,-3.9110509795041253,-1.1313733847171237,2655.6809814494377,2584.8880185505627,2655.6809814494377,2584.8880185505627,HOLD,0.0,0.0,1.2433567882678964
2025-06-05 10:00:00+00:00,2595.85,-5.480686613708258,-2.0012360305153507,2654.0145572874876,2582.2754427125124,2654.0145572874876,2582.2754427125124,SELL,0.0,-0.0,1.2433567882678964
2025-06-05 11:00:00+00:00,2606.81,-5.332159206295728,-2.6674206656714263,2643.4804921298796,2586.8105078701205,2643.4804921298796,2586.8105078701205,HOLD,0.0,0.0,1.2433567882678964
2025-06-05 12:00:00+00:00,2630.7,-2.35358357532823,-2.6046532476027875,2635.2679458929915,2592.2190541070086,2635.2679458929915,2592.2190541070086,HOLD,0.0,0.0,1.2433567882678964
2025-06-05 13:00:00+00:00,2588.67,-4.976391276255981,-3.0790008533334268,2633.4603990280734,2589.465600971926,2633.4603990280734,2589.465600971926,SELL,0.0,-0.0,1.2433567882678964
2025-06-05 14:00:00+00:00,2586.56,-7.17301076258218,-3.8978028351831773,2632.55428347121,2586.2327165287893,2632.55428347121,2586.2327165287893,SELL,0.0,-0.0,1.2433567882678964
2025-06-05 15:00:00+00:00,2588.31,-8.564874817951022,-4.831217231736746,2631.75048508331,2583.61651491669,2631.75048508331,2583.61651491669,SELL,0.0,0.0,1.2433567882678964
2025-06-05 16:00:00+00:00,2558.15,-13.06756402375595,-6.478486590140587,2637.7044850036327,2573.005514996368,2637.7044850036327,2573.005514996368,SELL,0.0,-0.0,1.2433567882678964
2025-06-05 17:00:00+00:00,2568.95,-15.093756477187071,-8.201540567549884,2638.346555459892,2567.466444540108,2638.346555459892,2567.466444540108,SELL,0.0,0.0,1.2433567882678964
2025-06-05 18:00:00+00:00,2574.83,-15.77780693008117,-9.716793840056141,2638.8995757037287,2563.9494242962714,2638.8995757037287,2563.9494242962714,SELL,0.0,0.0,1.2433567882678964
2025-06-05 19:00:00+00:00,2527.97,-21.613073617720147,-12.096049795588943,2646.6341158581135,2548.3348841418865,2646.6341158581135,2548.3348841418865,SELL,0.0,-0.0,1.2433567882678964
2025-06-05 20:00:00+00:00,2397.61,-41.11733259426819,-17.900306355324794,2686.402545762084,2487.2474542379155,2686.402545762084,2487.2474542379155,SELL,0.0,-0.0,1.2433567882678964
2025-06-05 21:00:00+00:00,2436.33,-51.021562103071574,-24.524557504874153,2696.850794681489,2459.662205318511,2696.850794681489,2459.662205318511,SELL,0.0,0.0,1.2433567882678964
2025-06-05 22:00:00+00:00,2428.97,-58.86706841798514,-31.39305968749635,2702.3007179244414,2435.2262820755586,2702.3007179244414,2435.2262820755586,SELL,0.0,-0.0,1.2433567882678964
2025-06-05 23:00:00+00:00,2413.23,-66.02779825528842,-38.32000740105477,2705.2943061989963,2411.188693801004,2705.2943061989963,2411.188693801004,SELL,0.0,-0.0,1.2433567882678964
2025-06-06 00:00:00+00:00,2425.09,-69.34286950020078,-44.52457982088397,2702.137396074615,2393.9356039253844,2702.137396074615,2393.9356039253844,SELL,0.0,0.0,1.2433567882678964
